City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
234,Katiola,CI,75.83,light rain,8.1333,-5.1,Auberge Residence Yebin
240,Haimen,CN,76.89,broken clouds,23.1935,116.6142,Shantou Chaoyang Donghui Hotel
244,Pasni,PK,79.11,scattered clouds,25.2631,63.471,Kashmiri Hotal
248,Kavaratti,IN,80.49,overcast clouds,10.5669,72.642,Green leaf
249,Batticaloa,LK,79.07,few clouds,7.7102,81.6924,Grand Star Guest House
252,Coahuayana,MX,76.6,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
255,Pandan,PH,77.29,overcast clouds,14.0453,124.1694,Bonifacio Lodge
256,The Valley,AI,85.86,few clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
261,Matara,LK,77.11,few clouds,5.9485,80.5353,Amaloh Boutique Resort
262,Baghdad,IQ,87.71,clear sky,33.3406,44.4009,Baghdad Hotel
264,Puerto Escondido,MX,80.19,overcast clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
267,Faanui,PF,77.95,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
271,Touros,BR,76.44,few clouds,-5.1989,-35.4608,INN NEW HORIZON
273,Prainha,BR,87.96,broken clouds,-1.8,-53.48,Casa Rocha
280,Marathon,US,80.35,broken clouds,44.9,-89.7668,
282,Cayenne,GF,78.84,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
286,Carinhanha,BR,89.44,broken clouds,-14.3047,-43.765,Hotel União
288,Canto Do Buriti,BR,87.49,few clouds,-8.11,-42.9444,Novo Hotel
289,San Cristobal,VE,78.98,broken clouds,7.7669,-72.225,Pirineos
290,Tutoia,BR,78.8,few clouds,-2.7619,-42.2744,Pousada Guará's
292,Wewak,PG,75.87,light rain,-3.5534,143.6268,In Wewak Boutique Hotel
293,Tindivanam,IN,80.04,overcast clouds,12.25,79.65,Sundari Lodge
294,Darab,IR,76.8,few clouds,28.7519,54.5444,Naghshe shapoor Hotel
301,Conde,BR,76.46,clear sky,-7.2597,-34.9075,Pousada Beija Flor
302,Kilis,TR,75.43,clear sky,36.7161,37.115,Otel Kilis Mer-tur Otel Ve Mado Cafe
304,Vila Franca Do Campo,PT,76.19,broken clouds,37.7167,-25.4333,Pestana Bahia Praia
310,Mlonggo,ID,77.83,overcast clouds,-6.5333,110.7,Asia Metal Art
311,Srandakan,ID,75.54,overcast clouds,-7.9386,110.2506,Puri Brata
314,Quang Ngai,VN,75.72,moderate rain,15.1167,108.8,Central Hotel
316,Walla Walla,US,76.75,clear sky,46.0646,-118.343,"Holiday Inn Express Walla Walla, an IHG Hotel"
320,Trincomalee,LK,80.58,clear sky,8.5711,81.2335,Welcombe Hotel
329,Palauig,PH,78.33,broken clouds,15.435,119.9045,Villa Raphael Resort
331,Boa Vista,BR,80.58,broken clouds,2.8197,-60.6733,Aipana Plaza Hotel
335,Laurel,US,84.6,clear sky,39.0993,-76.8483,Days Inn & Suites by Wyndham Laurel Near Fort Meade
341,Lompoc,US,78.94,few clouds,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
344,Mahibadhoo,MV,80.69,moderate rain,3.7833,72.9667,Omadhoo Inn
349,Lorengau,PG,82.62,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
354,Moussoro,TD,84.06,overcast clouds,13.6408,16.4901,Pharmacie alnadja Moussoro
355,Thinadhoo,MV,80.28,scattered clouds,0.5333,72.9333,
356,Ahuimanu,US,87.51,broken clouds,21.4447,-157.8378,Paradise Bay Resort
362,Kanniyakumari,IN,78.17,overcast clouds,8.0833,77.5667,Sparsa Kanyakumari
371,Cabanas,CU,83.14,few clouds,22.9758,-82.9219,Villa Luis Montesino y Anabel
373,Katherine,AU,77.32,scattered clouds,-14.4667,132.2667,Pine Tree Motel
374,Belvidere,US,89.46,heavy intensity rain,42.2639,-88.8443,Americas Best Value Inn Belvidere Rockford
379,Ouegoa,NC,79.43,clear sky,-20.35,164.4333,
384,Barreirinhas,BR,78.39,few clouds,-2.7469,-42.8264,Gran Lençóis Flat Residence
386,Dingle,PH,76.06,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
400,Bandarbeyla,SO,78.67,broken clouds,9.4942,50.8122,JABIR HOTEL
402,Sao Gabriel Da Cachoeira,BR,81.32,scattered clouds,-0.1303,-67.0892,Alarne - Área De Lazer Do Alto Rio Negro
403,Sur,OM,82.89,clear sky,22.5667,59.5289,Sur Plaza Hotel
404,Tabou,CI,75.63,light rain,4.423,-7.3528,hotêl doufoulougou
